[HEADER]
Format	J&M ASCII Table
Comment	
Date	5/27/2023 9:59:09 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
250.000000	333.116577
251.000000	333.046448
252.000000	333.241730
253.000000	331.872284
254.000000	327.960205
255.000000	324.232635
256.000000	323.578766
257.000000	325.375122
258.000000	327.855835
259.000000	329.692230
260.000000	329.871185
261.000000	328.715881
262.000000	327.556854
263.000000	327.047577
264.000000	327.036316
265.000000	327.183746
266.000000	326.907623
267.000000	325.958344
268.000000	324.998230
269.000000	324.664612
270.000000	324.924286
271.000000	325.472046
272.000000	325.344299
273.000000	323.514801
274.000000	320.889923
275.000000	319.433197
276.000000	319.913116
277.000000	322.028778
278.000000	324.472473
279.000000	324.715759
280.000000	321.939636
281.000000	318.708160
282.000000	317.001129
283.000000	316.037720
284.000000	314.874390
285.000000	314.042328
286.000000	314.337738
287.000000	315.524445
288.000000	316.895081
289.000000	317.416687
290.000000	315.938110
291.000000	313.209900
292.000000	311.759735
293.000000	312.583099
294.000000	314.430359
295.000000	316.130463
296.000000	317.026642
297.000000	316.681335
298.000000	315.150604
299.000000	312.807220
300.000000	311.108795
301.000000	311.460876
302.000000	312.224274
303.000000	310.643036
304.000000	308.174347
305.000000	309.050415
306.000000	312.725677
307.000000	313.715363
308.000000	310.466431
309.000000	307.765381
310.000000	308.673767
311.000000	311.103882
312.000000	312.636414
313.000000	312.187256
314.000000	309.488373
315.000000	307.123474
316.000000	308.126862
317.000000	311.094696
318.000000	312.542023
319.000000	311.797729
320.000000	310.326813
321.000000	309.222717
322.000000	309.097656
323.000000	310.013794
324.000000	311.171844
325.000000	311.893646
326.000000	311.995392
327.000000	311.512482
328.000000	311.026001
329.000000	311.133423
330.000000	311.772827
331.000000	312.615814
332.000000	313.085266
333.000000	312.534912
334.000000	311.402039
335.000000	310.961243
336.000000	311.220673
337.000000	310.678162
338.000000	309.411041
339.000000	310.402344
340.000000	314.621735
341.000000	317.001160
342.000000	313.644836
343.000000	309.304108
344.000000	309.647400
345.000000	312.465576
346.000000	313.002930
347.000000	311.500183
348.000000	310.942810
349.000000	311.699097
350.000000	311.922333
351.000000	311.225006
352.000000	311.114685
353.000000	312.169830
354.000000	313.048462
355.000000	312.784515
356.000000	312.013550
357.000000	311.555573
358.000000	311.855103
359.000000	313.059662
360.000000	314.015930
361.000000	313.287354
362.000000	312.022003
363.000000	312.768494
364.000000	315.105927
365.000000	316.035156
366.000000	315.118958
367.000000	315.327301
368.000000	317.667542
369.000000	318.985138
370.000000	317.538086
371.000000	316.954651
372.000000	320.184082
373.000000	323.008514
374.000000	320.454468
375.000000	315.819214
376.000000	315.268188
377.000000	318.464905
378.000000	321.156189
379.000000	321.593140
380.000000	320.363678
381.000000	318.344757
382.000000	316.681274
383.000000	316.216797
384.000000	317.170990
385.000000	319.264374
386.000000	320.966095
387.000000	320.986023
388.000000	320.137970
389.000000	319.679687
390.000000	319.845215
391.000000	320.443695
392.000000	321.412537
