[HEADER]
Format	J&M ASCII Table
Comment	Ref
Date	2/21/2023 3:37:23 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
250.000000	6441.345703
251.000000	6221.578125
252.000000	6025.548340
253.000000	5858.987305
254.000000	5726.534668
255.000000	5630.704102
256.000000	5573.208984
257.000000	5553.920898
258.000000	5571.993652
259.000000	5625.801270
260.000000	5713.312012
261.000000	5832.531250
262.000000	5981.389648
263.000000	6154.749023
264.000000	6343.992676
265.000000	6542.277344
266.000000	6746.075195
267.000000	6948.222656
268.000000	7131.424316
269.000000	7278.767578
270.000000	7381.209473
271.000000	7431.899902
272.000000	7425.488281
273.000000	7357.949707
274.000000	7232.836426
275.000000	7058.310547
276.000000	6846.193848
277.000000	6611.369141
278.000000	6366.909180
279.000000	6123.450684
280.000000	5890.988770
281.000000	5678.602051
282.000000	5493.683594
283.000000	5339.077148
284.000000	5216.398437
285.000000	5125.409180
286.000000	5065.292480
287.000000	5034.813965
288.000000	5032.678223
289.000000	5058.963867
290.000000	5114.556152
291.000000	5198.646973
292.000000	5308.788086
293.000000	5441.750488
294.000000	5593.318359
295.000000	5761.486816
296.000000	5949.030762
297.000000	6157.348633
298.000000	6381.544922
299.000000	6615.729004
300.000000	6855.278320
301.000000	7096.062012
302.000000	7334.725586
303.000000	7568.118652
304.000000	7790.935059
305.000000	7996.308594
306.000000	8176.334473
307.000000	8322.137695
308.000000	8428.996094
309.000000	8498.589844
310.000000	8530.513672
311.000000	8518.392578
312.000000	8458.452148
313.000000	8358.886719
314.000000	8229.240234
315.000000	8072.185547
316.000000	7888.731445
317.000000	7685.554687
318.000000	7472.016602
319.000000	7254.298340
320.000000	7036.182617
321.000000	6822.432617
322.000000	6618.932617
323.000000	6428.952637
324.000000	6251.374512
325.000000	6086.059082
326.000000	5936.268555
327.000000	5804.859863
328.000000	5691.216797
329.000000	5593.945312
330.000000	5511.891113
331.000000	5443.916992
332.000000	5388.211914
333.000000	5342.791992
334.000000	5308.786621
335.000000	5289.741699
336.000000	5285.796875
337.000000	5292.995117
338.000000	5309.130859
339.000000	5335.469238
340.000000	5372.821289
341.000000	5419.895020
342.000000	5475.539062
343.000000	5540.538086
344.000000	5615.487305
345.000000	5696.752930
346.000000	5779.577637
347.000000	5864.355469
348.000000	5954.258789
349.000000	6048.914062
350.000000	6144.960449
351.000000	6241.096191
352.000000	6338.688965
353.000000	6437.475098
354.000000	6533.898437
355.000000	6625.289062
356.000000	6712.390137
357.000000	6795.715332
358.000000	6872.352051
359.000000	6938.672363
360.000000	6992.303711
361.000000	7031.604004
362.000000	7057.279785
363.000000	7071.328125
364.000000	7073.430664
365.000000	7061.231934
366.000000	7033.487305
367.000000	6990.490234
368.000000	6933.976562
369.000000	6868.232910
370.000000	6797.385254
371.000000	6724.276855
372.000000	6651.708008
373.000000	6583.280762
374.000000	6522.151367
375.000000	6466.929199
376.000000	6414.476074
377.000000	6363.350586
378.000000	6313.208496
379.000000	6264.463379
380.000000	6218.170898
381.000000	6174.027832
382.000000	6129.927734
383.000000	6087.031250
384.000000	6053.109863
385.000000	6033.507812
386.000000	6024.229004
387.000000	6020.817871
388.000000	6024.388184
389.000000	6037.248535
390.000000	6059.144531
391.000000	6088.750000
392.000000	6124.983887
393.000000	6166.873535
394.000000	6212.471680
395.000000	6258.954590
396.000000	6304.495605
397.000000	6348.652832
398.000000	6391.572266
399.000000	6434.370117
400.000000	6478.205566
401.000000	6524.036621
402.000000	6573.360352
403.000000	6630.281738
404.000000	6698.806641
405.000000	6777.035156
406.000000	6860.855957
407.000000	6949.843750
408.000000	7045.952637
409.000000	7151.857422
410.000000	7270.798828
411.000000	7403.184570
412.000000	7545.598633
413.000000	7695.656738
414.000000	7853.539551
415.000000	8021.375000
416.000000	8206.155273
417.000000	8413.480469
418.000000	8638.645508
419.000000	8874.788086
420.000000	9120.269531
421.000000	9375.194336
422.000000	9634.230469
423.000000	9889.041016
424.000000	10139.533203
425.000000	10393.161133
426.000000	10655.055664
427.000000	10926.871094
428.000000	11207.033203
429.000000	11488.155273
430.000000	11763.368164
431.000000	12029.230469
432.000000	12282.398437
433.000000	12517.198242
434.000000	12729.275391
435.000000	12927.655273
436.000000	13126.619141
437.000000	13336.732422
438.000000	13565.492187
439.000000	13805.778320
440.000000	14037.654297
441.000000	14250.749023
442.000000	14447.669922
443.000000	14627.785156
444.000000	14782.686523
445.000000	14906.661133
446.000000	15004.035156
447.000000	15080.261719
448.000000	15138.126953
449.000000	15179.887695
450.000000	15209.024414
451.000000	15229.687500
452.000000	15247.855469
453.000000	15270.470703
454.000000	15302.160156
455.000000	15345.341797
456.000000	15395.534180
457.000000	15439.755859
458.000000	15470.319336
459.000000	15490.166016
460.000000	15503.357422
461.000000	15513.920898
462.000000	15524.332031
463.000000	15530.728516
464.000000	15527.766602
465.000000	15510.980469
466.000000	15477.114258
467.000000	15431.540039
468.000000	15384.487305
469.000000	15345.000977
470.000000	15321.049805
471.000000	15318.929687
472.000000	15342.921875
473.000000	15392.676758
474.000000	15460.042969
475.000000	15538.886719
476.000000	15630.228516
477.000000	15736.437500
478.000000	15860.731445
479.000000	16007.458984
480.000000	16186.368164
481.000000	16407.515625
482.000000	16665.679687
483.000000	16946.292969
484.000000	17217.779297
485.000000	17436.035156
486.000000	17577.207031
487.000000	17640.880859
488.000000	17643.662109
489.000000	17627.802734
490.000000	17630.353516
491.000000	17670.343750
492.000000	17758.183594
493.000000	17882.853516
494.000000	18030.416016
495.000000	18197.072266
496.000000	18382.490234
497.000000	18586.617187
498.000000	18809.259766
499.000000	19046.501953
500.000000	19291.835937
501.000000	19541.992187
502.000000	19797.089844
503.000000	20053.490234
504.000000	20301.658203
505.000000	20537.771484
506.000000	20771.666016
507.000000	21011.208984
508.000000	21251.812500
509.000000	21487.585937
510.000000	21718.771484
511.000000	21947.527344
512.000000	22176.041016
513.000000	22406.417969
514.000000	22639.560547
515.000000	22875.638672
516.000000	23116.548828
517.000000	23365.806641
518.000000	23624.615234
519.000000	23890.857422
520.000000	24161.845703
521.000000	24434.212891
522.000000	24707.757812
523.000000	24991.941406
524.000000	25294.003906
525.000000	25603.246094
526.000000	25906.509766
527.000000	26208.162109
528.000000	26518.867187
529.000000	26838.281250
530.000000	27159.478516
531.000000	27478.376953
532.000000	27793.550781
533.000000	28106.300781
534.000000	28421.201172
535.000000	28738.341797
536.000000	29049.300781
537.000000	29349.716797
538.000000	29648.404297
539.000000	29952.417969
540.000000	30253.152344
541.000000	30540.873047
542.000000	30822.572266
543.000000	31109.652344
544.000000	31396.328125
545.000000	31668.347656
546.000000	31926.085937
547.000000	32181.240234
548.000000	32437.472656
549.000000	32689.095703
550.000000	32934.312500
551.000000	33178.414062
552.000000	33425.660156
553.000000	33676.312500
554.000000	33929.464844
555.000000	34182.054687
556.000000	34432.492187
557.000000	34689.386719
558.000000	34963.503906
