[HEADER]
Format	J&M ASCII Table
Comment	Dark Scan
Date	2/21/2023 3:36:40 AM
Order	Y (evenX)
TechType	UV
NumPoints	483
FirstX	250.00
LastX	732.00
XType	NMetr
YType	Count
[DATA]
250.000000	298.254089
251.000000	299.943054
252.000000	297.400269
253.000000	293.868591
254.000000	292.087067
255.000000	291.121918
256.000000	289.681122
257.000000	288.874847
258.000000	290.331024
259.000000	293.066895
260.000000	294.859833
261.000000	295.175751
262.000000	294.786652
263.000000	294.269135
264.000000	293.933044
265.000000	293.688019
266.000000	292.791656
267.000000	291.075073
268.000000	289.999542
269.000000	290.686951
270.000000	291.890686
271.000000	292.047668
272.000000	291.286163
273.000000	290.335114
274.000000	289.416260
275.000000	288.461639
276.000000	287.509155
277.000000	286.691132
278.000000	286.145538
279.000000	286.010803
280.000000	286.155243
281.000000	285.936035
282.000000	285.005341
283.000000	284.026001
284.000000	283.588043
285.000000	283.149536
286.000000	282.054443
287.000000	281.067474
288.000000	281.385040
289.000000	282.134399
290.000000	281.223114
291.000000	278.956055
292.000000	277.899811
293.000000	278.893982
294.000000	280.236328
295.000000	280.794037
296.000000	281.020172
297.000000	281.283966
298.000000	281.054077
299.000000	279.926270
300.000000	279.014496
301.000000	279.618591
302.000000	280.808624
303.000000	280.750549
304.000000	279.562897
305.000000	278.704865
306.000000	278.719849
307.000000	279.171082
308.000000	279.449371
309.000000	278.755554
310.000000	277.208923
311.000000	277.059387
312.000000	279.624207
313.000000	281.932953
314.000000	280.960480
315.000000	278.464111
316.000000	277.457184
317.000000	277.839050
318.000000	278.014404
319.000000	277.863037
320.000000	278.358521
321.000000	279.475525
322.000000	280.058044
323.000000	279.845764
324.000000	280.144043
325.000000	281.461334
326.000000	281.989197
327.000000	280.360779
328.000000	278.195312
329.000000	277.440216
330.000000	277.833466
331.000000	278.346405
332.000000	278.301208
333.000000	277.286957
334.000000	276.092285
335.000000	276.417084
336.000000	278.153625
337.000000	279.039429
338.000000	278.319214
339.000000	278.084717
340.000000	279.417084
341.000000	280.001526
342.000000	278.046173
343.000000	276.073792
344.000000	277.003815
345.000000	279.442474
346.000000	280.590210
347.000000	280.265381
348.000000	279.748383
349.000000	279.363342
350.000000	278.627533
351.000000	277.846130
352.000000	278.324799
353.000000	280.133606
354.000000	280.963989
355.000000	279.522247
356.000000	278.011078
357.000000	278.483002
358.000000	279.829773
359.000000	280.307495
360.000000	279.494141
361.000000	277.611572
362.000000	276.044861
363.000000	276.757233
364.000000	279.430756
365.000000	281.755371
366.000000	282.720673
367.000000	283.081207
368.000000	283.275238
369.000000	282.916992
370.000000	282.015228
371.000000	281.969879
372.000000	283.713135
373.000000	285.039490
374.000000	283.536041
375.000000	281.254639
376.000000	281.787170
377.000000	285.125671
378.000000	289.025330
379.000000	291.301300
380.000000	289.921021
381.000000	285.591919
382.000000	282.627411
383.000000	283.259399
384.000000	285.178528
385.000000	286.335449
386.000000	286.976532
387.000000	287.603668
388.000000	287.989532
389.000000	287.782898
390.000000	287.196869
391.000000	286.653290
392.000000	286.215332
393.000000	285.728516
394.000000	285.225922
395.000000	284.908142
396.000000	284.611359
397.000000	283.679016
398.000000	282.057373
399.000000	280.949677
400.000000	281.173523
401.000000	281.969940
402.000000	282.503418
403.000000	282.907227
404.000000	283.444458
405.000000	283.361938
406.000000	281.689941
407.000000	279.954315
408.000000	281.088379
409.000000	284.481018
410.000000	286.278656
411.000000	284.968262
412.000000	282.345276
413.000000	280.244232
414.000000	280.118042
415.000000	282.305725
416.000000	283.991058
417.000000	282.814697
418.000000	281.089233
419.000000	281.822327
420.000000	283.683136
421.000000	283.778687
422.000000	282.445099
423.000000	281.941101
424.000000	282.272552
425.000000	281.399841
426.000000	279.150543
427.000000	277.922516
428.000000	278.820892
429.000000	280.092529
430.000000	280.319214
431.000000	280.009674
432.000000	279.965149
433.000000	280.742493
434.000000	282.579315
435.000000	283.994110
436.000000	283.021271
437.000000	280.262817
438.000000	277.850677
439.000000	276.862030
440.000000	277.392853
441.000000	278.935699
442.000000	280.249146
443.000000	280.527405
444.000000	279.883026
445.000000	278.724060
446.000000	278.003113
447.000000	278.395294
448.000000	278.978912
449.000000	278.662109
450.000000	278.048828
451.000000	278.280060
452.000000	278.931213
453.000000	278.730133
454.000000	277.995941
455.000000	278.387146
456.000000	279.765564
457.000000	279.706360
458.000000	277.724548
459.000000	277.132599
460.000000	280.003601
461.000000	283.973999
462.000000	286.367035
463.000000	286.257416
464.000000	283.481689
465.000000	279.844391
466.000000	277.719574
467.000000	277.591339
468.000000	278.840424
469.000000	280.444000
470.000000	281.088867
471.000000	280.538269
472.000000	279.844971
473.000000	279.493927
474.000000	278.856079
475.000000	277.840942
476.000000	278.017059
477.000000	280.395477
478.000000	282.833282
479.000000	283.019104
480.000000	282.115326
481.000000	282.223633
482.000000	282.449036
483.000000	280.508606
484.000000	277.597290
485.000000	277.503296
486.000000	280.081543
487.000000	280.729462
488.000000	278.209076
489.000000	277.137390
490.000000	280.023010
491.000000	283.060211
492.000000	282.904266
493.000000	281.160156
494.000000	280.139618
495.000000	279.977783
496.000000	280.139709
497.000000	280.650909
498.000000	281.732056
499.000000	282.412170
500.000000	280.948792
501.000000	278.066681
502.000000	277.052582
503.000000	278.741638
504.000000	280.090057
505.000000	279.461792
506.000000	279.030823
507.000000	280.444153
508.000000	281.952820
509.000000	281.647308
510.000000	280.276398
511.000000	279.270142
512.000000	278.968994
513.000000	279.204498
514.000000	279.729370
515.000000	280.255127
516.000000	280.703705
517.000000	281.186920
518.000000	281.187134
519.000000	279.316620
520.000000	275.955444
521.000000	275.163208
522.000000	279.094818
523.000000	282.937958
524.000000	282.082245
525.000000	278.590027
526.000000	276.100708
527.000000	276.270294
528.000000	279.589935
529.000000	282.921295
530.000000	281.277863
531.000000	276.364685
532.000000	275.610107
533.000000	280.207306
534.000000	283.306976
535.000000	281.738861
536.000000	279.924530
537.000000	280.916748
538.000000	281.999878
539.000000	280.569275
540.000000	278.239197
541.000000	277.296417
542.000000	277.746796
543.000000	278.766724
544.000000	279.735840
545.000000	280.177612
546.000000	280.108765
547.000000	279.928741
548.000000	279.894928
549.000000	280.091492
550.000000	280.528656
551.000000	281.111053
552.000000	281.520996
553.000000	280.940338
554.000000	278.993744
555.000000	277.106354
556.000000	276.763733
557.000000	277.696960
558.000000	279.009796
559.000000	279.389252
560.000000	277.550354
561.000000	275.192688
562.000000	275.928467
563.000000	279.385162
564.000000	281.225708
565.000000	279.802948
566.000000	277.552582
567.000000	276.493622
568.000000	277.140594
569.000000	279.268372
570.000000	280.970520
571.000000	280.610138
572.000000	279.219513
573.000000	278.365692
574.000000	278.074463
575.000000	277.794128
576.000000	277.753143
577.000000	278.593903
578.000000	279.777344
579.000000	279.767975
580.000000	278.550903
581.000000	278.034271
582.000000	278.806427
583.000000	278.883636
584.000000	277.387726
585.000000	277.013306
586.000000	279.771942
587.000000	282.803925
588.000000	282.791290
589.000000	280.619568
590.000000	278.527069
591.000000	277.270660
592.000000	276.809570
593.000000	276.885284
594.000000	277.084839
595.000000	277.126495
596.000000	276.880829
597.000000	276.623657
598.000000	277.237640
599.000000	278.886108
600.000000	280.025574
601.000000	279.615662
602.000000	279.003174
603.000000	279.435638
604.000000	279.309509
605.000000	276.683228
606.000000	273.527161
607.000000	273.253876
608.000000	275.664764
609.000000	278.281738
610.000000	279.764587
611.000000	279.874542
612.000000	279.162476
613.000000	279.146454
614.000000	280.296204
615.000000	281.003479
616.000000	280.363159
617.000000	279.998779
618.000000	281.181976
619.000000	282.051788
620.000000	280.497528
621.000000	277.672119
622.000000	275.790802
623.000000	275.605194
624.000000	276.995758
625.000000	278.700623
626.000000	278.656219
627.000000	276.918488
628.000000	275.878845
629.000000	276.917572
630.000000	279.645905
631.000000	282.872589
632.000000	283.949188
633.000000	281.383392
634.000000	278.146912
635.000000	277.391388
636.000000	278.645782
637.000000	280.408081
638.000000	281.756683
639.000000	282.088379
640.000000	281.471344
641.000000	280.405579
642.000000	279.386566
643.000000	278.880798
644.000000	278.650757
645.000000	277.561005
646.000000	275.628143
647.000000	275.100494
648.000000	277.236420
649.000000	280.010803
650.000000	281.454529
651.000000	281.954773
652.000000	282.227661
653.000000	281.508636
654.000000	278.828125
655.000000	276.218048
656.000000	276.988129
657.000000	280.012848
658.000000	280.975952
659.000000	279.479614
660.000000	279.316223
661.000000	281.348328
662.000000	281.745422
663.000000	278.746857
664.000000	275.868835
665.000000	275.996033
666.000000	277.896393
667.000000	279.680450
668.000000	280.137573
669.000000	278.620972
670.000000	277.036774
671.000000	277.987061
672.000000	279.906555
673.000000	278.949310
674.000000	275.878448
675.000000	275.342255
676.000000	278.154602
677.000000	280.344666
678.000000	279.936401
679.000000	278.877838
680.000000	278.547760
681.000000	277.962372
682.000000	276.469269
683.000000	275.913788
684.000000	278.002228
685.000000	280.660767
686.000000	280.981232
687.000000	279.525482
688.000000	278.434448
